year,sex,age,value
2025,both,77,230.7870228
2025,both,78,222.3630787
2025,both,79,222.0406161
2025,both,80,186.2776141
2025,both,81,164.6414951
2025,both,82,148.2533085
2025,both,83,135.1287964
2025,both,84,123.6118486
2025,both,85,101.025223
2025,both,86,90.78222668
2025,both,87,81.08073328
2025,both,88,67.65000735
2025,both,89,60.42259219
2025,both,90,51.57916396
2025,both,91,44.19126328
2025,both,92,37.20699508
2025,both,93,29.7606571
2025,both,94,24.21890665
2025,both,95,20.48283711
2025,both,96,15.24527835
2025,both,97,11.45090309
2025,both,98,8.117459794
2025,both,99,5.585220619
2025,both,100,9.474308989
2026,both,40,463.8644024
2026,both,41,456.9513048
2026,both,42,454.7141483
2026,both,43,435.9471282
2026,both,44,426.0184524
2026,both,45,427.1817987
2026,both,46,412.4514174
2026,both,47,416.7145489
2026,both,48,408.5763142
2026,both,49,413.8940242
2026,both,50,393.4063874
2026,both,51,416.6723704
2026,both,52,409.9027178
2026,both,53,394.331021
2026,both,54,387.4887753
2026,both,55,384.9639904
2026,both,56,390.3984656
2026,both,57,405.2068357
2026,both,58,414.5537246
2026,both,59,414.3902581
2026,both,60,426.2235508
2026,both,61,424.9515383
2026,both,62,416.8477097
2026,both,63,408.401179
2026,both,64,404.2600642
2026,both,65,427.1950821
2026,both,66,407.6851963
2026,both,67,397.5248222
2026,both,68,382.6205546
2026,both,69,365.8093565
2026,both,70,365.9460849
2026,both,71,347.5278808
2026,both,72,330.3216452
2026,both,73,320.1151081
2026,both,74,311.6260489
2026,both,75,354.5436465
2026,both,76,248.937399
2026,both,77,236.8903514
2026,both,78,228.24363
2026,both,79,227.9126396
2026,both,80,197.1942141
2026,both,81,174.2901335
2026,both,82,156.9415347
2026,both,83,143.0478747
2026,both,84,130.8559885
2026,both,85,105.8059544
2026,both,86,95.07823743
2026,both,87,84.91764845
2026,both,88,70.85135159
2026,both,89,63.28191957
2026,both,90,52.93735385
2026,both,91,45.35491391
2026,both,92,38.18673497
2026,both,93,30.54431896
2026,both,94,24.85664235
2026,both,95,21.06454853
2026,both,96,15.6782434
2026,both,97,11.7761081
2026,both,98,8.347995195
2026,both,99,5.743840569
2026,both,100,9.91041289
2027,both,40,467.7354275
2027,both,41,460.764639
2027,both,42,458.5088131
2027,both,43,439.5851791
2027,both,44,429.5736468
2027,both,45,433.488026
2027,both,46,418.5401889
2027,both,47,422.8662544
2027,both,48,414.6078799
2027,both,49,420.0040921
2027,both,50,394.2956994
2027,both,51,417.6142762
2027,both,52,410.8293205
2027,both,53,395.2224232
2027,both,54,388.3647104
2027,both,55,382.2357554
2027,both,56,387.6317165
2027,both,57,402.3351398
2027,both,58,411.6157875
2027,both,59,411.4534794
2027,both,60,419.8213281
2027,both,61,418.5684223
2027,both,62,410.5863197
2027,both,63,402.2666627
2027,both,64,398.1877508
2027,both,65,428.4081087
2027,both,66,408.8428242
2027,both,67,398.6535996
2027,both,68,383.7070112
2027,both,69,366.8480774
2027,both,70,373.5426083
2027,both,71,354.7420683
2027,both,72,337.1786556
2027,both,73,326.7602452
2027,both,74,318.0949651
2027,both,75,363.9198078
2027,both,76,255.5207272
2027,both,77,243.1550868
2027,both,78,234.2796967
2027,both,79,233.939953
2027,both,80,208.7505696
2027,both,81,184.5042199
2027,both,82,166.1389251
2027,both,83,151.431042
2027,both,84,138.5246635
2027,both,85,110.8129204
2027,both,86,99.57754468
2027,both,87,88.93613471
2027,both,88,74.20419036
2027,both,89,66.27655648
2027,both,90,54.33130778
2027,both,91,46.54920596
2027,both,92,39.1922735
2027,both,93,31.34861631
2027,both,94,25.51117099
2027,both,95,21.66278052
2027,both,96,16.12350463
2027,both,97,12.1105489
2027,both,98,8.585077788
2027,both,99,5.906965318
2027,both,100,10.36659072
